Clusters,Severity,Number,Frequency
C0,CV,1107,0.082
C0,FT,2876,0.214
C0,HC,743,0.055
C0,MD,1027,0.076
C0,ML,1959,0.146
C0,SLE,53,0.004
C0,SV,5688,0.423
C1,CV,879,0.083
C1,FT,2101,0.2
C1,HC,608,0.058
C1,MD,949,0.09
C1,ML,1839,0.175
C1,SLE,51,0.005
C1,SV,4102,0.39
C2,CV,561,0.073
C2,FT,1377,0.179
C2,HC,305,0.04
C2,MD,722,0.094
C2,ML,1338,0.174
C2,SLE,17,0.002
C2,SV,3373,0.438
C3,CV,81,0.021
C3,FT,202,0.052
C3,HC,636,0.165
C3,MD,712,0.184
C3,ML,962,0.249
C3,SLE,4,0.001
C3,SV,1267,0.328
C4,CV,137,0.043
C4,FT,1224,0.385
C4,HC,139,0.044
C4,MD,127,0.04
C4,ML,264,0.083
C4,SLE,4,0.001
C4,SV,1284,0.404
C5,CV,155,0.055
C5,FT,520,0.185
C5,HC,472,0.167
C5,MD,310,0.11
C5,ML,263,0.093
C5,SLE,10,0.004
C5,SV,1088,0.386
C6,CV,168,0.072
C6,FT,262,0.112
C6,HC,18,0.008
C6,MD,293,0.125
C6,ML,375,0.16
C6,SLE,11,0.005
C6,SV,1211,0.518
C7,CV,125,0.081
C7,FT,211,0.137
C7,HC,65,0.042
C7,MD,150,0.097
C7,ML,212,0.138
C7,SLE,13,0.008
C7,SV,764,0.496
C8,CV,370,0.36
C8,FT,86,0.084
C8,HC,57,0.055
C8,MD,15,0.015
C8,ML,38,0.037
C8,SLE,0,0
C8,SV,462,0.449
C9,CV,28,0.047
C9,FT,263,0.442
C9,HC,102,0.171
C9,MD,9,0.015
C9,ML,37,0.062
C9,SLE,0,0
C9,SV,156,0.262
C10,CV,51,0.105
C10,FT,62,0.127
C10,HC,36,0.074
C10,MD,8,0.016
C10,ML,42,0.086
C10,SLE,6,0.012
C10,SV,282,0.579
C11,CV,6,0.021
C11,FT,221,0.784
C11,HC,3,0.011
C11,MD,0,0
C11,ML,10,0.035
C11,SLE,0,0
C11,SV,42,0.149
C12,CV,27,0.158
C12,FT,9,0.053
C12,HC,21,0.123
C12,MD,8,0.047
C12,ML,20,0.117
C12,SLE,0,0
C12,SV,86,0.503
